,node_id,node_centrality,node_name
0,KovZpZA6A1EA,0.7777777777777777,Schottenstein Center
1,KovZpZA6kelA,0.7777777777777777,Nationwide Arena
2,KovZpaoyie,0.7222222222222222,Wexner Center Mershon Auditorium
3,KovZpZA17ItA,0.611111111111111,Columbus Athenaeum
4,rZ7HnEZak6C,0.5555555555555556,Rumba Cafe
5,KovZpZAaJeaA,0.5555555555555556,The Bluestone
6,rZ7HnEZaA9c,0.5,Skully's Music Diner
7,KovZpZAEAAvA,0.5,Ohio Expo Center & State Fair
8,rZ7HnEZ178p-4,0.5,The Athenaeum Theatre
9,rZ7HnEZ17FAJ4,0.5,Woodlands Tavern
10,KovZpZAEkA1A,0.2777777777777778,Columbus Civic Center
11,KovZpZAaJ17A,0.2222222222222222,The Event Center at Hollywood Casino Columbus
12,KovZpZAEAAeA,0.2222222222222222,Ohio Stadium
13,KovZpZAEAA7A,0.16666666666666666,Palace Theatre Columbus
14,KovZpZAEAAaA,0.16666666666666666,Southern Theatre
15,KovZpZAEAAtA,0.16666666666666666,Ohio State University Ice Rink
16,KovZpZAEAAdA,0.1111111111111111,Ohio Theatre
17,KovZ917A-LH,0.0,Covelli Center Columbus
18,KovZpa2BVe,0.0,Huntington Park
