city,segment,genre,event_name
Madrid,Music,Rock,Paul McCartney: GOT BACK TOUR
Madrid,Music,Rock,Paul McCartney: GOT BACK TOUR
Madrid,Music,Rock,Imagine Dragons: LOOM World Tour | VIP Packages
Madrid,Music,Rock,Imagine Dragons: LOOM World Tour
Barcelona,Music,Rock,Imagine Dragons: LOOM World Tour | VIP Packages
Barcelona,Music,Rock,Imagine Dragons: LOOM World Tour
Barcelona,Music,Rock, J. Bernardt
Barcelona,Music,Rock,Griff
Madrid,Music,Rock, J. Bernardt
Madrid,Music,Rock,Griff
Barcelona,Music,Pop,Test Events Cris Enero English
Barcelona,Music,Undefined,Matinée Gold Festival
Barcelona,Music,Classical,Homenaje a John Williams
Madrid,Music,Alternative,Role Model - NO PLACE LIKE TOUR
Barcelona,Music,Alternative,Role Model - NO PLACE LIKE TOUR
Málaga,Music,Rock,Andrés Koi - KoiTour | Paquetes VIP
A Coruña,Music,Rock,Rod Stewart
Málaga,Music,Rock,Andrés Koi - KoiTour
A Coruña,Music,Rock,Rod Stewart - Paquetes VIP
Madrid,Music,Rock,Jay Wheeler: TRAPPii Tour
Madrid,Music,Undefined,Black Eyed Peas - Christmas by STARLITE
Madrid,Music,Undefined,Taburete - Christmas  STARLITE
Madrid,Music,Rock,María Becerra | Paquetes VIP
Madrid,Music,Rock,María Becerra
Barcelona,Music,Rock,LA CENDEJAS - TSUNAMI TOUR
Zaragoza,Music,Rock,LA CENDEJAS - TSUNAMI TOUR
Barcelona,Music,Rock,Milo J
Madrid,Music,Rock,Milo J
Madrid,Music,Rock,Spencer Sutherland | Paquetes VIP
Madrid,Music,Rock,Spencer Sutherland
Madrid,Arts & Theatre,Comedy,Katherine Ryan - Battleaxe
Madrid,Music,Dance/Electronic,Polo & Pan European Tour 2025
Barcelona,Music,Rock,Slimane - WORLD TOUR
Barcelona,Music,Dance/Electronic,Polo & Pan European Tour 2025
Madrid,Music,Other,Omar Rudberg - Every Night Fantasy Tour
Sevilla,Music,Rock,LA CENDEJAS - TSUNAMI TOUR
A Coruña,Music,Rock,Franz Ferdinand
Barcelona,Music,Other,Omar Rudberg - Every Night Fantasy Tour
Madrid,Music,Rock,Kikuo - KIKUOLAND GO-ROUND tour
Madrid,Music,Rock,Franz Ferdinand
Barcelona,Music,Rock,Franz Ferdinand
Madrid,Music,Rock,Matt Hansen
A Coruña,Music,Hip-Hop/Rap,LA CENDEJAS - TSUNAMI TOUR
Bilbao,Music,Rock,LA CENDEJAS - TSUNAMI TOUR
Madrid,Music,Rock,Rels B - A New Star World Tour 2025 | VIP Packages
Madrid,Music,Rock,Rels B - A New Star World Tour 2025
Madrid,Music,Alternative,almost monday – the DIVE tour | Paquetes VIP
Madrid,Music,Alternative,almost monday – the DIVE tour
Madrid,Music,Rock,LA CENDEJAS - TSUNAMI TOUR
Madrid,Music,Rock,Rels B - A New Star World Tour 2025
Madrid,Music,Rock,Rels B - A New Star World Tour 2025 | VIP Packages
Madrid,Music,Rock,Lawrence ? The Family Business Tour Part 2
Barcelona,Music,Alternative,almost monday – the DIVE tour
Barcelona,Music,Alternative,almost monday – the DIVE tour | Paquetes VIP
Barcelona,Music,Rock,Alec Benjamin - 12 Notes Tour
Madrid,Music,Rock,Alec Benjamin - 12 Notes Tour
Barcelona,Music,Dance/Electronic,Alan Walker
Barcelona,Music,Rock,Rels B - A New Star World Tour 2025
Barcelona,Music,Rock,Rels B - A New Star World Tour 2025 | VIP Packages
Barcelona,Music,Rock,Rels B - A New Star World Tour 2025
Barcelona,Music,Rock,Rels B - A New Star World Tour 2025 | VIP Packages
Madrid,Music,Rock,2024-25 aespa LIVE TOUR - SYNK : PARALLEL LINE – in MADRID
Barcelona,Music,Rock,Anastacia - #NTK25 Tour | Paquetes VIP
Barcelona,Music,Rock,Anastacia - #NTK25 Tour
Madrid,Music,Rock,2024-25 aespa LIVE TOUR - SYNK : PARALLEL LINE – in MADRID | VIP
Barcelona,Music,Rock,Anastacia - #NTK25 Tour
Barcelona,Music,Rock,Anastacia - #NTK25 Tour | Paquetes VIP
Madrid,Music,Rock,Anastacia - #NTK25 Tour | Paquetes VIP
Madrid,Music,Rock,Anastacia - #NTK25 Tour
Madrid,Music,Rock,Nemo - «Break The Code» Europe Tour 2025
Barcelona,Music,Rock,Nemo - «Break The Code» Europe Tour 2025
Barcelona,Miscellaneous,Family,Cirque du Soleil: Corteo
Barcelona,Miscellaneous,Family,Cirque du Soleil: Corteo
Barcelona,Music,Rock,Gavin James
Barcelona,Miscellaneous,Family,Cirque du Soleil: Corteo
Barcelona,Miscellaneous,Family,Cirque du Soleil: Corteo
Barcelona,Miscellaneous,Family,Cirque du Soleil: Corteo
Madrid,Music,Rock,Gavin James
Barcelona,Music,Other,FINAL FANTASY VII REBIRTH Orchestra World Tour
Barcelona,Miscellaneous,Family,Cirque du Soleil: Corteo
Barcelona,Miscellaneous,Family,Cirque du Soleil: Corteo
Sevilla,Music,Rock,Morad
Barcelona,Miscellaneous,Family,Cirque du Soleil: Corteo
Barcelona,Miscellaneous,Family,Cirque du Soleil: Corteo
Madrid,Music,Rock,Baby Lasagna - Meow Back Tour Spring 2025
Madrid,Music,Rock,Lenny Kravitz - Blue Electric Light Tour 2025
Madrid,Music,Rock,Lenny Kravitz - Blue Electric Light Tour 2025 | Paquetes VIP
Barcelona,Miscellaneous,Family,Cirque du Soleil: Corteo
Barcelona,Music,Rock,Baby Lasagna - Meow Back Tour Spring 2025
Barcelona,Music,Rock,Queen Extravaganza: Celebrating 50 years of Bohemian Rhapsody | VIP
Barcelona,Music,Rock,Queen Extravaganza: Celebrating 50 years of Bohemian Rhapsody
A Coruña,Music,Rock,Lenny Kravitz - Blue Electric Light Tour 2025
A Coruña,Music,Rock,Lenny Kravitz - Blue Electric Light Tour 2025 | Paquetes VIP
Barakaldo,Music,Rock,Queen Extravaganza: Celebrating 50 years of Bohemian Rhapsody
Barakaldo,Music,Rock,Queen Extravaganza: Celebrating 50 years of Bohemian Rhapsody | VIP
Málaga,Music,Rock,Diego Torres - Mejor que ayer Tour
Málaga,Music,Rock,Diego Torres - Mejor que ayer Tour | Paquetes VIP
Pamplona/Iruña,Music,Rock,Lenny Kravitz - Blue Electric Light Tour 2025
A Coruña,Music,Rock,Morad
Pamplona/Iruña,Music,Rock,Lenny Kravitz - Blue Electric Light Tour 2025 | Paquetes VIP
Barcelona,Music,Rock,Diego Torres - Mejor que ayer Tour
Barcelona,Music,Rock,Diego Torres - Mejor que ayer Tour | Paquetes VIP
Madrid,Music,Rock,Diego Torres - Mejor que ayer Tour
Madrid,Music,Rock,Diego Torres - Mejor que ayer Tour | Paquetes VIP
Barcelona,Music,Classical,Luka Sulic | Life Tour
Madrid,Music,Rock,Inhaler
Madrid,Music,Other,Twenty One Pilots - The Clancy World Tour
Barcelona,Music,Rock,Inhaler
Barcelona,Music,Rock,Twenty One Pilots - The Clancy World Tour
A Coruña,Miscellaneous,Family,Cirque du Soleil: Corteo
A Coruña,Miscellaneous,Family,Cirque du Soleil: Corteo
A Coruña,Miscellaneous,Family,Cirque du Soleil: Corteo
A Coruña,Miscellaneous,Family,Cirque du Soleil: Corteo
Barcelona,Music,Classical,Avatar en Concierto
A Coruña,Miscellaneous,Family,Cirque du Soleil: Corteo
A Coruña,Miscellaneous,Family,Cirque du Soleil: Corteo
Madrid,Music,Rock,Warhaus
A Coruña,Miscellaneous,Family,Cirque du Soleil: Corteo
Bilbao,Music,Alternative,The Lumineers
Barcelona,Music,Rock,Warhaus
Madrid,Music,Rock,GHOST: World Tour 2025
A Coruña,Miscellaneous,Family,Cirque du Soleil: Corteo
A Coruña,Miscellaneous,Family,Cirque du Soleil: Corteo
Madrid,Arts & Theatre,Comedy,Morgan Jay - The Goofy Guy Tour
Madrid,Arts & Theatre,Comedy,Morgan Jay - The Goofy Guy Tour | Paquetes VIP
A Coruña,Miscellaneous,Family,Cirque du Soleil: Corteo
A Coruña,Miscellaneous,Family,Cirque du Soleil: Corteo
Madrid,Music,Alternative,The Lumineers
Madrid,Arts & Theatre,Comedy,Morgan Jay - The Goofy Guy Tour
Madrid,Arts & Theatre,Comedy,Morgan Jay - The Goofy Guy Tour | Paquetes VIP
Madrid,Arts & Theatre,Comedy,Morgan Jay - The Goofy Guy Tour
Madrid,Music,Other,Only The Poets
A Coruña,Miscellaneous,Family,Cirque du Soleil: Corteo
A Coruña,Miscellaneous,Family,Cirque du Soleil: Corteo
Barcelona,Music,Other,Only The Poets
Pamplona/Iruña,Miscellaneous,Family,Cirque du Soleil: Corteo
Madrid,Music,Rock,AURORA - What Happened To The Earth? Part 5
Pamplona/Iruña,Miscellaneous,Family,Cirque du Soleil: Corteo
Madrid,Music,Rock,Tate McRae: Miss Possessive Tour | VIP Packages
Madrid,Music,Rock,Tate McRae: Miss Possessive Tour
Granada,Music,Rock,Morad
Granada,Music,Rock,Pixies
Pamplona/Iruña,Miscellaneous,Family,Cirque du Soleil: Corteo
Pamplona/Iruña,Miscellaneous,Family,Cirque du Soleil: Corteo
Pamplona/Iruña,Miscellaneous,Family,Cirque du Soleil: Corteo
Pamplona/Iruña,Miscellaneous,Family,Cirque du Soleil: Corteo
Madrid,Music,Rock,Dua Lipa - Radical Optimism Tour
Pamplona/Iruña,Miscellaneous,Family,Cirque du Soleil: Corteo
Pamplona/Iruña,Miscellaneous,Family,Cirque du Soleil: Corteo
Madrid,Music,Rock,Dua Lipa - Radical Optimism Tour
Barcelona,Music,Alternative,La Femme - Rock Machine Tour
Madrid,Music,Alternative,La Femme - Rock Machine Tour
Leganés,Music,Dance/Electronic,Boris Brejcha - Reflections Tour 2025
Leganés,Music,Dance/Electronic,Boris Brejcha - Reflections Tour 2025 | Paquetes VIP
Barcelona,Music,Rock,CA7RIEL & PACO AMOROSO - BAÑO MARIA TOUR 2025
Madrid,Music,Rock,CA7RIEL & PACO AMOROSO - BAÑO MARIA TOUR 2025
Madrid,Music,Rock,Ed Sheeran +-=÷x EUROPEAN TOUR 2025
Madrid,Music,Rock,Ed Sheeran +-=÷x EUROPEAN TOUR 2025
Madrid,Music,Rock,Erreway - Juntos Otra Vez Tour 2025 | Paquetes VIP
Madrid,Music,Rock,Erreway - Juntos Otra Vez Tour 2025
Barcelona,Music,Rock,Erreway - Juntos Otra Vez Tour 2025
Barcelona,Music,Rock,Erreway - Juntos Otra Vez Tour 2025 | Paquetes VIP
Barcelona,Music,Rock,BILLIE EILISH: HIT ME HARD AND SOFT: THE TOUR
Barcelona,Music,Rock,BILLIE EILISH: HIT ME HARD AND SOFT: THE TOUR
Barcelona,Arts & Theatre,Comedy,Morgan Jay - The Goofy Guy Tour
Barcelona,Arts & Theatre,Comedy,Morgan Jay - The Goofy Guy Tour | Paquetes VIP
Barcelona,Arts & Theatre,Comedy,Morgan Jay - The Goofy Guy Tour
Barcelona,Arts & Theatre,Comedy,Morgan Jay - The Goofy Guy Tour | Paquetes VIP
Barcelona,Music,Rock,ADO World Tour 2025: Hibana in Barcelona
Barcelona,Music,Alternative,Maya Hawke - The Chaos Angel Tour
Barcelona,Music,Rock,Weezer
A Coruña,Music,Rock,Alanis Morissette - 2025 World Tour
Madrid,Music,Rock,Stray Kids World Tour <dominATE MADRID> | VIP Packages
Madrid,Music,Rock,Stray Kids World Tour <dominATE MADRID>
A Coruña,Music,Rock,Lionel Richie - Say Hello To The Hits
A Coruña,Music,Rock,Lionel Richie - Say Hello To The Hits | Paquetes VIP
Madrid,Music,Rock,Lionel Richie - Say Hello To The Hits
Madrid,Music,Rock,Lionel Richie - Say Hello To The Hits | Paquetes VIP
Sevilla,Music,Rock,Duki - Ameri World Tour
A Coruña,Music,Rock,Duki - Ameri World Tour
Barcelona,Music,Rock,Duki - Ameri World Tour
Madrid,Music,Rock,Duki - Ameri World Tour
Madrid,Music,Rock,Duki - Ameri World Tour
Barcelona,Music,Rock,Jamiroquai - The Heels Of Steel Tour | VIP Packages
Barcelona,Music,Rock,Jamiroquai - The Heels Of Steel Tour
Madrid,Music,Rock,OneRepublic - Escape to Europe 2025
Madrid,Music,Rock,OneRepublic - Escape to Europe 2025 | Paquetes VIP
Barcelona,Music,Rock,FLEX PRUEBAS IMPRESION ENTRADAS.
