genre_id,genre_name,sub_genre_id,sub_genre_name
KnvZfZ7vAeA,Rock,KZazBEonSMnZfZ7v6F1,Pop
KnvZfZ7vAev,Pop,KZazBEonSMnZfZ7vkJv,African Pop
KnvZfZ7vAe6,Undefined,KZazBEonSMnZfZ7v6JI,Undefined
KnvZfZ7vAeJ,Classical,KZazBEonSMnZfZ7vF1A,Classical/Vocal
KnvZfZ7vAvv,Alternative,KZazBEonSMnZfZ7vAvn,Alternative Rock
KnvZfZ7vAe1,Comedy,KZazBEonSMnZfZ7vF17,Comedy
KnvZfZ7vAvF,Dance/Electronic,KZazBEonSMnZfZ7vA1E,Dance/Electronic
KnvZfZ7vAvl,Other,KZazBEonSMnZfZ7vk1I,Other
KnvZfZ7vAv1,Hip-Hop/Rap,KZazBEonSMnZfZ7vkvl,Hip-Hop/Rap
KnvZfZ7vA1n,Family,KZazBEonSMnZfZ7vaav,Other
KnvZfZ7vAeA,Rock,KZazBEonSMnZfZ7v6kl,Hard Rock
